,±ê¼Ç,center number,atomic number,x,y,z,charge,multi
0,t,1,6,1.191144,2.322705,0.18603,0,1
1,v,2,1,1.54779843,1.313895,0.18603,,
2,,3,1,1.54781684,2.82710319,1.0596815,,
3,,4,1,1.54781684,2.82710319,-0.6876215,,
4,,5,1,0.121144,2.32271818,0.18603,,
